cluster.index	parent.mass	RTMean	LibraryID	MetFragID	MetFragSC	FusionID	FusionSC	ConsensusID	ConsensusSC
14420	251.1642	0	N/A	SN00395662#SN00249762#SN00321608#SN00364492#SN00323390#SN00370337#SN00312794#SN00387084#SN00402004#SN00233620#SN00303802#SN00274105#SN00311390#CHEBI:70796#SN00280445#SN00351007#SN00278677#SN00029887#SN00322015#SN00304057#SN00235148#SN00245973#SN00390060#SN00401664#SN00243336#SN00400296#SN00260103#SN00387767#SN00335690#SN00385277#SN00388291#SN00318174#SN00265097#SN00304181#SN00360344#SN00377238#SN00249373#SN00227030#SN00246887#SN00370737#SN00336444#CHEBI:68147#SN00239092#SN00272340#SN00395852#SN00299959#SN00294470#SN00162636#SN00276745#SN00159358#SN00231341#SN00369283#SN00347358#SN00241747#SN00256493#SN00393138#SN00259251#SN00263613#SN00239172#SN00159708#SN00158143#SN00314049#SN00361738#SN00333935#SN00244095#SN00341931#SN00142852	Lipids and lipid-like molecules#Organic oxygen compounds#Organoheterocyclic compounds#Organic nitrogen compounds			SN00247985#SN00367035#SN00373791#SN00032786#SN00028780#SN00349362#SN00336838#SN00291466#SN00350143#SN00321243#SN00290572#SN00227559#SN00392426#SN00393059#SN00155676#SN00303880#SN00160035#SN00238874#SN00036844#SN00342624#SN00034057#SN00394148#SN00311979#SN00383026#SN00259390#SN00310639#SN00255856#SN00322268#SN00403688	Organoheterocyclic compounds#Lipids and lipid-like molecules
14421	444.3324	0	N/A	SN00384729#SN00164977#SN00019020	Organic acids and derivatives#Lipids and lipid-like molecules			SN00384729#SN00164977#SN00019020	Organic acids and derivatives#Lipids and lipid-like molecules
14425	215.0853	0	N/A	SN00216366#SN00117739	Organoheterocyclic compounds			SN00118651#SN00119421#SN00131786#SN00135242	Organoheterocyclic compounds
14426	619.3496	0	N/A	SN00241607#SN00309006	Organic acids and derivatives#Organic oxygen compounds			SN00292043#SN00105973	Lipids and lipid-like molecules#Organic oxygen compounds
14429	450.2972	0	N/A	SN00163009#CHEBI:27784#SN00372612	Lipids and lipid-like molecules#Organic oxygen compounds			SN00163009#CHEBI:27784#SN00372612	Lipids and lipid-like molecules#Organic oxygen compounds
14430	444.1089	0	N/A	SN00004643#SN00112208	Organoheterocyclic compounds			SN00004643#SN00112208	Organoheterocyclic compounds
14431	503.255	0	N/A	SN00105620#SN00108229	Lipids and lipid-like molecules			SN00278772#SN00255829#SN00299637#SN00326024#SN00041011#SN00359794	Lipids and lipid-like molecules
14433	1035.4747	0	N/A						
14434	608.3482	0	N/A	SN00244187#SN00115160#SN00173357	Organic acids and derivatives#Alkaloids and derivatives#Lipids and lipid-like molecules			SN00244187#SN00115160#SN00173357	Organic acids and derivatives#Alkaloids and derivatives#Lipids and lipid-like molecules
14435	662.4332	0	N/A	SN00300484#SN00250347#SN00170741	Lipids and lipid-like molecules#Organic acids and derivatives			SN00300484#SN00250347#SN00170741	Lipids and lipid-like molecules#Organic acids and derivatives
14436	192.1058	0	N/A						
14440	679.4269	0	N/A	CHEBI:129366#SN00258322#SN00364290#SN00114995	Benzenoids#Phenylpropanoids and polyketides#Lipids and lipid-like molecules			SN00335587#SN00238610	Lipids and lipid-like molecules
14442	268.1217	0	N/A	SN00357229#SN00400255	Organoheterocyclic compounds			SN00262006#SN00349442#SN00123919#CHEBI:123276#SN00072988#CHEBI:83393#SN00145821#SN00143187	Organoheterocyclic compounds#Benzenoids#Organic nitrogen compounds#Phenylpropanoids and polyketides
14444	473.2987	0	N/A	SN00018410#SN00024169#SN00027608#SN00025738#SN00028277#SN00022133#SN00099831	Organic acids and derivatives#Benzenoids#Lipids and lipid-like molecules			SN00018410#SN00024169#SN00027608#SN00025738#SN00028277#SN00022133#SN00099831	Organic acids and derivatives#Benzenoids#Lipids and lipid-like molecules
14448	323.2141	0	N/A	CHEBI:91972#CHEBI:35917#SN00261842	Benzenoids#Alkaloids and derivatives#Organoheterocyclic compounds				
14449	363.1656	0	N/A	SN00003820#SN00051474#CHEBI:83843#SN00084983#SN00154866#SN00147942#SN00154870#CHEBI:109796#SN00273704#SN00154569#CHEBI:109852	Organic acids and derivatives#Phenylpropanoids and polyketides#Organoheterocyclic compounds			CHEBI:127456#CHEBI:105531#SN00065706#SN00069459#SN00292694#SN00004391#SN00048485	Organoheterocyclic compounds#Benzenoids#Organic acids and derivatives
14450	426.1602	0	N/A	SN00024031#SN00035980#SN00089825#SN00106336#SN00097721#CHEBI:63792#SN00090863#SN00083337#SN00144562	Organoheterocyclic compounds#Organic acids and derivatives#Nucleosides, nucleotides, and analogues#Benzenoids#Phenylpropanoids and polyketides			CHEBI:92159#SN00027585#CHEBI:111293#CHEBI:95454#SN00102376#SN00102493#SN00081211#SN00090954#SN00216126	Benzenoids#Organic oxygen compounds#Organoheterocyclic compounds#Organic acids and derivatives
14451	571.415	0	N/A	CHEBI:67417#SN00165332#SN00163790	Lipids and lipid-like molecules			CHEBI:67417#SN00165332#SN00163790	Lipids and lipid-like molecules
14455	651.319	0	N/A	SN00361018#SN00313544	Organic oxygen compounds#Lipids and lipid-like molecules			SN00165290#SN00168710#SN00306772	Lipids and lipid-like molecules
14456	287.2379	0	Mesterolone	SN00260690#SN00003652#SN00380452#SN00224982#SN00171158#SN00269851#SN00170061#SN00328214#SN00396658#SN00394627#SN00390324#SN00362666#SN00265181#SN00373337#SN00290972	Lipids and lipid-like molecules	SN00306238#SN00309740#SN00256121#SN00245501#SN00243632#SN00280842	Lipids and lipid-like molecules	SN00348529#SN00227557#SN00370861#SN00247828#SN00329980#SN00365094#SN00398443#SN00256293#SN00245248#SN00276310#SN00322040#SN00248487#SN00233920#SN00386330#SN00230918#SN00311166#SN00276898#SN00390470#SN00122862#SN00271935#CHEBI:69563#SN00284545#SN00294442#SN00302759#SN00254641#SN00313851#SN00171050#SN00275969#SN00340871#SN00379653#SN00379396#SN00297382#SN00387737#SN00316052#SN00369345#SN00273245#SN00122359#SN00321470#SN00265693#SN00379388#SN00259113#SN00361741#SN00330104#SN00333949#SN00243769	Lipids and lipid-like molecules#Organic oxygen compounds#Benzenoids
14457	376.2699	0	N/A	SN00086522#SN00018270#SN00027426#SN00114294#SN00164267	Lipids and lipid-like molecules#Organoheterocyclic compounds#Organic oxygen compounds			SN00086522#SN00018270#SN00027426#SN00114294#SN00164267	Lipids and lipid-like molecules#Organoheterocyclic compounds#Organic oxygen compounds
14458	876.3835	0	N/A						
14460	351.9185	0	N/A						
14461	532.2968	0	N/A	SN00115548#SN00116082	Alkaloids and derivatives			SN00089258#SN00089364#SN00175150#SN00173378#SN00113384#SN00374477#SN00108904	Organic acids and derivatives#Phenylpropanoids and polyketides#Lipids and lipid-like molecules
14462	634.3652	0	N/A	SN00175845#SN00173308#SN00353725	Phenylpropanoids and polyketides#Lipids and lipid-like molecules			SN00175845#SN00173308#SN00353725	Phenylpropanoids and polyketides#Lipids and lipid-like molecules
14464	906.261	0	N/A						
14465	437.234	0	N/A	SN00087654#SN00088068	Phenylpropanoids and polyketides			SN00087654#SN00088068	Phenylpropanoids and polyketides
14467	325.1768	0	N/A	SN00385769#SN00060982#SN00046468	Benzenoids#Phenylpropanoids and polyketides			SN00338900#SN00008860#SN00009360#SN00113951#SN00127977#SN00327275	Lipids and lipid-like molecules#Alkaloids and derivatives#Organoheterocyclic compounds#Organosulfur compounds
14470	676.3049	0	N/A	SN00349576#SN00277041#SN00165075	Organic acids and derivatives#Phenylpropanoids and polyketides			SN00349576#SN00277041#SN00165075	Organic acids and derivatives#Phenylpropanoids and polyketides
14472	414.3068	0	N/A	SN00027832#SN00027929#SN00027646	Lipids and lipid-like molecules			SN00135434#CHEBI:71541#CHEBI:71542	Lipids and lipid-like molecules
14476	361.1652	0	N/A	SN00010014#SN00320249#SN00159793#SN00068965#SN00372333#SN00214366#SN00302592#SN00347366#SN00300728#SN00289524#SN00038490#SN00296160#SN00305414#SN00272667#SN00036435#SN00334200#SN00022693#SN00367979#SN00369634#SN00337195#SN00226184#SN00376063#SN00371013#SN00328879#SN00159792#SN00163342#SN00030366#SN00020052	Organic oxygen compounds#Phenylpropanoids and polyketides#Organoheterocyclic compounds#Benzenoids#Lignans, neolignans and related compounds			SN00010014#SN00320249#SN00159793#SN00068965#SN00372333#SN00214366#SN00302592#SN00347366#SN00300728#SN00289524#SN00038490#SN00296160#SN00305414#SN00272667#SN00036435#SN00334200#SN00022693#SN00367979#SN00369634#SN00337195#SN00226184#SN00376063#SN00371013#SN00328879#SN00159792#SN00163342#SN00030366#SN00020052	Organic oxygen compounds#Phenylpropanoids and polyketides#Organoheterocyclic compounds#Benzenoids#Lignans, neolignans and related compounds
14477	295.1175	0	N/A	SN00324315#SN00384525#SN00347703#SN00378435#SN00268798#SN00225981#SN00398248#SN00266815#SN00266888#SN00287033#SN00321251#SN00262448#SN00315273#SN00319753#SN00228117#SN00306712#SN00252185	Organoheterocyclic compounds#Phenylpropanoids and polyketides#Benzenoids#Lipids and lipid-like molecules#Lignans, neolignans and related compounds			SN00324315#SN00384525#SN00347703#SN00378435#SN00268798#SN00225981#SN00398248#SN00266815#SN00266888#SN00287033#SN00321251#SN00262448#SN00315273#SN00319753#SN00228117#SN00306712#SN00252185	Organoheterocyclic compounds#Phenylpropanoids and polyketides#Benzenoids#Lipids and lipid-like molecules#Lignans, neolignans and related compounds
14479	454.3166	0	N/A						
14481	532.3842	0	N/A						
14482	330.264	0	N/A	CHEBI:84654#SN00163539#SN00163536	Lipids and lipid-like molecules			SN00050768#SN00133169#SN00065833	Organoheterocyclic compounds#Benzenoids
14483	360.3631	0	N/A						
14485	466.1602	0	N/A	SN00081023#CHEBI:92672#SN00005244	Alkaloids and derivatives#Organoheterocyclic compounds			SN00022765#SN00018661	Organoheterocyclic compounds#Benzenoids
14486	428.3011	0	N/A	SN00012181#SN00021985#SN00021938	Organoheterocyclic compounds#Organic acids and derivatives			SN00012181#SN00021985#SN00021938	Organoheterocyclic compounds#Organic acids and derivatives
14487	570.3485	0	N/A	CHEBI:110910#CHEBI:95399	Phenylpropanoids and polyketides			CHEBI:110910#CHEBI:95399	Phenylpropanoids and polyketides
14488	488.2697	0	N/A	SN00290641#SN00176660#CHEBI:122812#SN00012659#SN00026570	Phenylpropanoids and polyketides#Benzenoids#Organoheterocyclic compounds			SN00290641#SN00176660#CHEBI:122812#SN00012659#SN00026570	Phenylpropanoids and polyketides#Benzenoids#Organoheterocyclic compounds
14490	722.4188	0	N/A						
14491	287.2377	0	2.alpha.-Methyl-5.alpha.-androstan-3.alpha.-ol-17-one	SN00003652#SN00260690#SN00171158#SN00224982#SN00380452#SN00269851#SN00170061#SN00396658#SN00328214#SN00265181#SN00390324#SN00394627#SN00362666#SN00373337#SN00290972	Lipids and lipid-like molecules	SN00306238#SN00256121#SN00309740#SN00245501#SN00243632#SN00280842	Lipids and lipid-like molecules	SN00348529#SN00370861#SN00227557#SN00247828#SN00365094#SN00398443#SN00248487#SN00245248#SN00256293#SN00329980#SN00386330#SN00233920#SN00276310#CHEBI:69563#SN00390470#SN00311166#SN00302759#SN00230918#SN00322040#SN00294442#SN00276898#SN00271935#SN00122862#SN00275969#SN00171050#SN00254641#SN00379396#SN00297382#SN00369345#SN00273245#SN00316052#SN00284545#SN00313851#SN00379653#SN00340871#SN00387737#SN00122359#SN00265693#SN00379388#SN00321470#SN00361741#SN00330104#SN00259113#SN00333949#SN00243769	Lipids and lipid-like molecules#Organic oxygen compounds#Benzenoids
14493	864.4209	0	N/A						
14496	273.1485	0	N/A	SN00364307#SN00283196#SN00289068#SN00387473#SN00046290#SN00325005#SN00142360#SN00395747#SN00298825	Benzenoids#Lipids and lipid-like molecules			SN00262251#SN00336519#SN00359987	Organoheterocyclic compounds
14497	273.1693	0	N/A	SN00372424#SN00243387#SN00307382#SN00066210#SN00388941	Lipids and lipid-like molecules#Organoheterocyclic compounds			SN00372424#SN00243387#SN00307382#SN00066210#SN00388941	Lipids and lipid-like molecules#Organoheterocyclic compounds
14498	503.2026	0	N/A	SN00035542#CHEBI:126942#SN00017253#CHEBI:59385#CHEBI:118451#SN00325392#SN00080975#SN00057772	Organic acids and derivatives#Benzenoids#Organic oxygen compounds#Alkaloids and derivatives#Phenylpropanoids and polyketides			SN00035542#CHEBI:126942#SN00017253#CHEBI:59385#CHEBI:118451#SN00325392#SN00080975#SN00057772	Organic acids and derivatives#Benzenoids#Organic oxygen compounds#Alkaloids and derivatives#Phenylpropanoids and polyketides
14499	332.2949	0	N/A	SN00025305#SN00264563	Organic oxygen compounds#Lipids and lipid-like molecules			SN00025305#SN00264563	Organic oxygen compounds#Lipids and lipid-like molecules
14501	428.25	0	N/A	CHEBI:103294#CHEBI:99898#SN00024702	Organoheterocyclic compounds#Organic acids and derivatives#Alkaloids and derivatives			CHEBI:103294#CHEBI:99898#SN00024702	Organoheterocyclic compounds#Organic acids and derivatives#Alkaloids and derivatives
14504	318.1702	0	N/A	CHEBI:133788#SN00238595#SN00348764#SN00361111#SN00385700#SN00254271#SN00371832	Organoheterocyclic compounds#Alkaloids and derivatives			SN00010304#SN00336039#SN00266876#SN00262648	Benzenoids#Alkaloids and derivatives
14505	199.0966	0	N/A	SN00242663#CCMSLIB00004693565#SN00392234#SN00299119#SN00329187#SN00368038#SN00314639#SN00385099#SN00256518#SN00398597#SN00276652#SN00322644#SN00362109#SN00237387#SN00351251#SN00143489#SN00384252#SN00033413#SN00392226#SN00254177#SN00240378#SN00283773#CHEBI:507#SN00382365#SN00227824	Organoheterocyclic compounds#Organic acids and derivatives#Lipids and lipid-like molecules#Organic oxygen compounds			CHEBI:125399#SN00283225#SN00272376#SN00294870#SN00297989#SN00240065#SN00159371#CHEBI:86532#SN00021164	Benzenoids
14506	357.2129	0	N/A	SN00378946#SN00113139#SN00115109#SN00021820	Organoheterocyclic compounds#Benzenoids			SN00378946#SN00113139#SN00115109#SN00021820	Organoheterocyclic compounds#Benzenoids
14507	285.1993	0	N/A	SN00132263#CHEBI:105359#CHEBI:108200	Organoheterocyclic compounds#Organic acids and derivatives	SN00132263#CHEBI:105359#CHEBI:108200	Organoheterocyclic compounds#Organic acids and derivatives	SN00132263#CHEBI:105359#CHEBI:108200	Organoheterocyclic compounds#Organic acids and derivatives
14508	427.1596	0	N/A	SN00025106#CHEBI:116968#SN00139686#SN00216279#SN00023572#CHEBI:105053#SN00237917#SN00053157#SN00013129#SN00139497	Benzenoids#Organoheterocyclic compounds#Organic oxygen compounds#Organic acids and derivatives#Alkaloids and derivatives			SN00077517#SN00076074#SN00086812	Organoheterocyclic compounds#Benzenoids
14510	417.2343	0	N/A	SN00019456#CHEBI:118639#CHEBI:94475#SN00018930#SN00118821#CHEBI:131308#SN00014008#SN00268705	Organic oxygen compounds#Organic acids and derivatives#Organic nitrogen compounds#Benzenoids#Alkaloids and derivatives			SN00019456#CHEBI:118639#CHEBI:94475#SN00018930#SN00118821#CHEBI:131308#SN00014008#SN00268705	Organic oxygen compounds#Organic acids and derivatives#Organic nitrogen compounds#Benzenoids#Alkaloids and derivatives
14511	529.246	0	N/A	SN00254198#SN00237147#SN00350214#SN00372717#SN00243176#SN00281583#SN00396362#SN00367959	Organoheterocyclic compounds#Lipids and lipid-like molecules#Organic acids and derivatives			SN00254198#SN00237147#SN00350214#SN00372717#SN00243176#SN00281583#SN00396362#SN00367959	Organoheterocyclic compounds#Lipids and lipid-like molecules#Organic acids and derivatives
14514	313.1038	0	N/A	SN00000650#SN00000664#SN00073069#SN00072867#SN00073270#SN00037019#SN00318451#SN00046076#SN00000669#SN00073089#SN00073524#SN00337999#SN00045487#SN00359031	Phenylpropanoids and polyketides#Benzenoids#Organoheterocyclic compounds			SN00076103#SN00157698#CHEBI:81114#SN00075307#SN00000969#SN00151022#SN00000532#SN00000968#SN00003150#SN00238109	Phenylpropanoids and polyketides#Organoheterocyclic compounds#Benzenoids
14518	410.254	0	N/A	SN00071252#SN00070933#CHEBI:113159#SN00035351#SN00021860	Organoheterocyclic compounds#Benzenoids	SN00071252#SN00070933#CHEBI:113159#SN00035351#SN00021860	Organoheterocyclic compounds#Benzenoids	SN00027418#SN00016864#SN00068221	Organic oxygen compounds#Organoheterocyclic compounds
14519	232.1546	0	N/A	SN00002062#SN00011617				SN00002062#SN00011617	
14522	322.2742	0	N/A	SN00304356#CHEBI:89605	Organic oxygen compounds#Organic nitrogen compounds			SN00358877#SN00385672	Organoheterocyclic compounds#Alkaloids and derivatives
14524	456.3323	0	N/A						
14525	314.2322	0	N/A	CHEBI:73048#CHEBI:88543	Lipids and lipid-like molecules	CHEBI:73048#CHEBI:88543	Lipids and lipid-like molecules	SN00170622#CHEBI:104078#CHEBI:103991	Lipids and lipid-like molecules#Organoheterocyclic compounds#Organic nitrogen compounds
14526	330.1913	0	N/A	SN00131281#SN00032561#SN00000220#CHEBI:105815#CHEBI:109106	Benzenoids#Organoheterocyclic compounds			SN00003868#CHEBI:68840#SN00068244	Organic acids and derivatives#Organoheterocyclic compounds
14528	429.233	0	N/A	CHEBI:102008#CHEBI:117338	Organoheterocyclic compounds			CHEBI:102008#CHEBI:117338	Organoheterocyclic compounds
14529	343.2673	0	N/A	SN00035203#SN00338027#SN00234975#SN00229451#SN00122819#CHEBI:71620	Lipids and lipid-like molecules#Organoheterocyclic compounds	SN00035203#SN00338027#SN00234975#SN00229451#SN00122819#CHEBI:71620	Lipids and lipid-like molecules#Organoheterocyclic compounds	SN00035203#SN00338027#SN00234975#SN00229451#SN00122819#CHEBI:71620	Lipids and lipid-like molecules#Organoheterocyclic compounds
14531	591.2978	0	N/A	SN00332822#SN00108829#CHEBI:113739#SN00174303#SN00346482	Organic acids and derivatives#Lipids and lipid-like molecules#Benzenoids#Phenylpropanoids and polyketides#Organoheterocyclic compounds			SN00322671#SN00230070#SN00310034	Lipids and lipid-like molecules
