	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-ConsensusClassification	9-Clustering_100	10-TaxaFilter_100	11-MultipletonsFilter_100	12-Subsampling_100	13-Lulu_100	14-RareSeqsFilter_100
D_PL_3_TFD	41068	29927	29927	29927 (11486 uniques)	29059 (233 uniques)	28009 (247 uniques)	28009 (240 uniques)	27736 (209 uniques)	27736 (209 uniques)	27736 (209 uniques)	27736 (209 uniques)	27678 (205 uniques)	27676 (203 uniques)	8000 (189 uniques)	8000 (161 uniques)	7995 (156 uniques)
D_PL_4_TFD	43623	31239	31239	31239 (11430 uniques)	30325 (245 uniques)	29153 (236 uniques)	29153 (228 uniques)	28789 (201 uniques)	28789 (201 uniques)	28789 (201 uniques)	28789 (201 uniques)	28733 (196 uniques)	28732 (195 uniques)	8000 (180 uniques)	8000 (158 uniques)	7982 (147 uniques)
D_PL_4_TFN	46209	32200	32200	32200 (9045 uniques)	31674 (178 uniques)	31014 (175 uniques)	31014 (169 uniques)	30816 (147 uniques)	30816 (147 uniques)	30816 (147 uniques)	30816 (147 uniques)	30802 (143 uniques)	30802 (143 uniques)	8000 (127 uniques)	8000 (113 uniques)	7994 (108 uniques)
D_PV_1_T0D	42461	30633	30633	30633 (10962 uniques)	29572 (241 uniques)	28537 (213 uniques)	28526 (206 uniques)	28391 (186 uniques)	28391 (186 uniques)	28391 (186 uniques)	28391 (186 uniques)	28168 (179 uniques)	28168 (179 uniques)	8000 (160 uniques)	8000 (146 uniques)	7994 (142 uniques)
D_PV_1_T0N	40792	25319	25319	25319 (11586 uniques)	23539 (372 uniques)	21847 (286 uniques)	21847 (282 uniques)	21811 (267 uniques)	21811 (267 uniques)	21811 (267 uniques)	21811 (267 uniques)	21486 (260 uniques)	21486 (260 uniques)	8000 (248 uniques)	8000 (232 uniques)	7965 (207 uniques)
D_PV_1_TFD	47073	35148	35148	35148 (11841 uniques)	34252 (229 uniques)	33033 (266 uniques)	33033 (259 uniques)	32425 (201 uniques)	32425 (201 uniques)	32425 (201 uniques)	32425 (201 uniques)	32410 (199 uniques)	32408 (197 uniques)	8000 (174 uniques)	8000 (151 uniques)	7988 (142 uniques)
D_PV_1_TFN	35263	23823	23823	23823 (6295 uniques)	23362 (134 uniques)	22824 (129 uniques)	22761 (127 uniques)	22606 (114 uniques)	22606 (114 uniques)	22606 (114 uniques)	22606 (114 uniques)	22606 (114 uniques)	22605 (113 uniques)	8000 (105 uniques)	8000 (89 uniques)	7998 (88 uniques)
D_PV_2_T0D	43063	31459	31459	31459 (12246 uniques)	30336 (240 uniques)	29239 (227 uniques)	29239 (215 uniques)	29110 (196 uniques)	29110 (196 uniques)	29110 (196 uniques)	29110 (196 uniques)	28853 (188 uniques)	28852 (187 uniques)	8000 (166 uniques)	8000 (150 uniques)	7995 (145 uniques)
D_PV_2_T0N	28634	19309	19309	19309 (8805 uniques)	18009 (323 uniques)	16755 (260 uniques)	16684 (255 uniques)	16649 (244 uniques)	16649 (244 uniques)	16649 (244 uniques)	16649 (244 uniques)	16386 (230 uniques)	16386 (230 uniques)	8000 (221 uniques)	8000 (212 uniques)	7974 (193 uniques)
D_PV_2_TFD	40517	27881	27881	27881 (10288 uniques)	27230 (202 uniques)	26227 (197 uniques)	26227 (191 uniques)	26049 (171 uniques)	26049 (171 uniques)	26049 (171 uniques)	26049 (171 uniques)	26015 (165 uniques)	26014 (164 uniques)	8000 (151 uniques)	8000 (138 uniques)	7988 (130 uniques)
D_PV_2_TFN_SA503_SC704	31453	21613	21613	21613 (7425 uniques)	21113 (187 uniques)	20213 (147 uniques)	20122 (143 uniques)	20096 (137 uniques)	20096 (137 uniques)	20096 (137 uniques)	20096 (137 uniques)	20069 (134 uniques)	20069 (134 uniques)	8000 (132 uniques)	8000 (128 uniques)	7991 (122 uniques)
D_PV_2_TFN_SA504_SC704	25048	16648	16648	16648 (6558 uniques)	16124 (152 uniques)	15447 (140 uniques)	15262 (135 uniques)	15253 (132 uniques)	15253 (132 uniques)	15253 (132 uniques)	15253 (132 uniques)	15226 (129 uniques)	15226 (129 uniques)	8000 (127 uniques)	8000 (120 uniques)	7997 (118 uniques)
D_PV_3_TFD	37557	27566	27566	27566 (9859 uniques)	26922 (198 uniques)	26170 (207 uniques)	26170 (200 uniques)	25899 (175 uniques)	25899 (175 uniques)	25899 (175 uniques)	25899 (175 uniques)	25879 (171 uniques)	25879 (171 uniques)	8000 (155 uniques)	8000 (140 uniques)	7993 (134 uniques)
D_PV_4_TFD	12837	9039	9039	9039 (3282 uniques)	8729 (113 uniques)	8200 (116 uniques)	8200 (112 uniques)	8024 (94 uniques)	8024 (94 uniques)	8024 (94 uniques)	8024 (94 uniques)	8024 (94 uniques)	8023 (93 uniques)	8000 (93 uniques)	8000 (78 uniques)	8000 (78 uniques)
D_PV_4_TFN	40970	28473	28473	28473 (8020 uniques)	28008 (151 uniques)	27385 (137 uniques)	27329 (134 uniques)	27158 (124 uniques)	27158 (124 uniques)	27158 (124 uniques)	27158 (124 uniques)	27156 (123 uniques)	27155 (122 uniques)	8000 (110 uniques)	8000 (98 uniques)	7995 (95 uniques)
D_TR_1_T0D	36194	25319	25319	25319 (12272 uniques)	23691 (297 uniques)	22146 (246 uniques)	22146 (229 uniques)	22105 (218 uniques)	22105 (218 uniques)	22105 (218 uniques)	22105 (218 uniques)	21405 (204 uniques)	21405 (204 uniques)	8000 (192 uniques)	8000 (178 uniques)	7981 (165 uniques)
