feature_number,DayNight,CCA_log2_change,CCA_log2_sizing,CCA_xic,Dictyota_log2_change,Dictyota_log2_sizing,Dictyota_xic,Pocillopora verrucosa_log2_change,Pocillopora verrucosa_log2_sizing,Pocillopora verrucosa_xic,Porites lobata_log2_change,Porites lobata_log2_sizing,Porites lobata_xic,Turf_log2_change,Turf_log2_sizing,Turf_xic,Water control_log2_change,Water control_log2_sizing,Water control_xic,Organism,post_filtering,network,net_act,net_activity,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
4123,Day,-3.861209785757786,-3.861209785757786,16356182.061187472,-1.0609403921534242,-3.861209785757786,23430810.24212502,0.6210972743195611,-3.861209785757786,6179977.967974588,0.6914467780470782,-3.861209785757786,8679095.343935613,-0.3667373110162304,-3.861209785757786,9188112.977634722,-3.2922887239275203,-3.861209785757786,7233249.369578013,NA,NA,245,245,recalcitrant,Ethers,1,subclass,12,Library
4124,Day,-1.7197034392194666,-6.6,587010.4932949208,-3.6054323357558324,-6.6,605505.1057812572,-6.6,-6.6,656376.4780683548,-4.0892291543559285,-6.6,440001.01551171835,-3.3944700341760927,-6.6,361980.7501191458,-3.091630054746086,-6.6,170702.36589257946,NA,NA,-1,-4124,NA,NA,NA,NA,NA,NA
4125,Day,1.4305521192572976,-2.552440698868482,682500.0970668939,-0.984239853135622,-2.552440698868482,1297838.922082031,-2.552440698868482,-2.552440698868482,780731.5339692377,-1.39882662250913,-2.552440698868482,619351.4083779302,-1.8137389228259901,-2.552440698868482,713984.3156184081,-0.18961416140635984,-2.552440698868482,665999.2851135253,NA,NA,106,106,NA,"Amino acids, peptides, and analogues",0.85,subclass,4,Insilico
4126,Day,-3.891063569343176,-6.6,319752.24750780786,-6.6,-6.6,509476.6264140692,-6.6,-6.6,562622.0878203183,-6.6,-6.6,492079.854578116,-6.6,-6.6,638456.9450976494,-6.6,-6.6,561674.5303710899,NA,NA,-1,-4126,NA,NA,NA,NA,NA,NA
4127,Day,0.9954996738435359,-3.268622162746719,1193491.553023458,-1.9248625332857134,-3.268622162746719,6182600.897515613,-1.0913464403731592,-3.268622162746719,1192099.324843756,-3.268622162746719,-3.268622162746719,913819.8024492108,-0.06027350347984053,-3.268622162746719,954807.7340703178,-1.6115420530790583,-3.268622162746719,5263117.350962893,NA,NA,220,220,recalcitrant,NA,NA,NA,NA,NA
4128,Day,-1.0635046533545212,-6.374439438898201,1889257.0687773384,-6.374439438898201,-6.374439438898201,29049928.22123453,-3.591141692984193,-6.374439438898201,5265829.994640645,-5.133286965492033,-6.374439438898201,1410091.8746249923,-3.1472137990861553,-6.374439438898201,2695287.733941409,-2.9466719298441326,-6.374439438898201,1021842.7904667996,Dictyota,1,21,21,depletolite,Fatty acid esters,1,subclass,21,Library
4129,Day,-3.0605211281985243,-3.0605211281985243,42146823.40755468,1.728464215216129,-3.0605211281985243,6296003.387343732,-1.6051365902076704,-3.0605211281985243,33709091.87866011,-2.989941399757929,-3.0605211281985243,21257328.62822854,-2.4381831944441408,-3.0605211281985243,10306072.812312508,-0.2102049654531949,-3.0605211281985243,12548949.706699213,NA,NA,375,375,recalcitrant,NA,NA,NA,NA,NA
4131,Day,0.6817306167656461,-0.48068984902096473,1926736.84345312,1.4643451619619263,-0.48068984902096473,1118519.7738398449,0.09127125303234274,-0.48068984902096473,3082823.164224602,2.0460614604362135,-0.48068984902096473,2736300.3490761756,0.1421855468225181,-0.48068984902096473,2678635.0792011763,-0.48068984902096473,-0.48068984902096473,8581537.375779292,NA,NA,1075,1075,recalcitrant,"Amino acids, peptides, and analogues",1.0444444444444445,subclass,18,Insilico
4132,Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,930,930,recalcitrant,NA,NA,NA,NA,NA
4133,Day,-1.2478882102840831,-1.2478882102840831,1860183.1249609378,0.608236198308179,-1.2478882102840831,1411218.757749978,0.3766994394025637,-1.2478882102840831,971494.9573515572,0.044202523990335585,-1.2478882102840831,1377603.8026015952,-0.11052933946600207,-1.2478882102840831,1484815.8683007662,-0.8058216019323514,-1.2478882102840831,1841385.621593746,NA,NA,249,249,recalcitrant,Lipids and lipid-like molecules,0.5384615384615384,superclass,13,Library
