feature_number,Organism,T0,TF,log2_change,network,N,P,C,O,H,NOSC,row m/z,n_presence,nc,oc,hc,log_nc,log_oc,log_hc,logxic,log_snc,log_soc,log_shc,ra,ra_mean
6394,Dictyota,8563122.851244142,821266.1712553102,-3.4732005800782924,1072,1,0,11,5,23,-0.9090909090909092,250.16515240435658,1,0.09090909090909091,0.45454545454545453,2.090909090909091,-1.041392685158225,-0.3424226808222062,0.3203351508593678,6.932632174692658,5.891239489534432,6.590209493870451,7.252967325552025,NA,2.14329011788578e-4
6399,CCA,935436.9518183286,1303519.8379921783,0.26743833263849665,91,2,1,16,7,27,-0.75,413.14438625512037,1,0.125,0.4375,1.6875,-0.9030899869919435,-0.3590219426416679,0.22724378150306254,5.9710145214991766,5.067924534507233,5.6119925788575085,6.198258303002239,NA,8.921630388336339e-5
6399,Pocillopora verrucosa,18321829.41267161,38886091.79584922,1.0647030753411268,91,2,1,16,7,27,-0.75,413.14438625512037,1,0.125,0.4375,1.6875,-0.9030899869919435,-0.3590219426416679,0.22724378150306254,7.262968835279537,6.359878848287593,6.903946892637869,7.490212616782599,NA,4.474652136782207e-4
6399,Porites lobata,3531504.7159903166,2817347.7439160054,-0.6389270895715777,91,2,1,16,7,27,-0.75,413.14438625512037,1,0.125,0.4375,1.6875,-0.9030899869919435,-0.3590219426416679,0.22724378150306254,6.547959790546751,5.6448698035548075,6.188937847905083,6.775203572049814,NA,2.7799756506005223e-4
6404,CCA,1690963.4273339885,2070541.4209609353,-0.39399820753460024,-1,1,0,17,6,20,-0.2941176470588234,357.1184188125061,1,0.058823529411764705,0.35294117647058826,1.1764705882352942,-1.2304489213782739,-0.45229767099463025,0.07058107428570728,6.228134214647534,4.99768529326926,5.775836543652904,6.298715288933241,NA,1.6707700934443775e-4
6404,Dictyota,1691282.9268242328,2997705.9979287228,0.5418245966789286,-1,1,0,17,6,20,-0.2941176470588234,357.1184188125061,1,0.058823529411764705,0.35294117647058826,1.1764705882352942,-1.2304489213782739,-0.45229767099463025,0.07058107428570728,6.228216264771309,4.9977673433930345,5.775918593776678,6.298797339057016,NA,5.274047215174044e-5
6411,CCA,196580402.5936191,135235759.86053854,-0.5583561003098593,-1,1,0,16,2,35,-1.75,274.2740644841733,1,0.0625,0.125,2.1875,-1.2041199826559248,-0.9030899869919435,0.3399480616943509,8.293540220161038,7.089420237505114,7.390450233169095,8.633488281855389,NA,0.02007744001372403
6411,Dictyota,47413951.27768743,141538405.41582006,1.5740102169755366,-1,1,0,16,2,35,-1.75,274.2740644841733,1,0.0625,0.125,2.1875,-1.2041199826559248,-0.9030899869919435,0.3399480616943509,7.67590614908802,6.4717861664320955,6.772816162096077,8.01585421078237,NA,0.00135346344623633
6470,Turf,732823.7214531236,1369114.1514477558,0.8792409677000045,-1,3,0,11,1,18,-0.6363636363636367,231.13386659715687,1,0.2727272727272727,0.09090909090909091,1.6363636363636365,-0.5642714304385626,-1.041392685158225,0.21387981994508107,5.864999518969638,5.300728088531075,4.823606833811413,6.078879338914719,NA,4.8192802160597626e-5
6472,Dictyota,88213414.29817967,36854861.857339814,-1.9708234390616357,-1,1,0,15,7,21,-0.2666666666666666,328.1392301937534,1,0.06666666666666667,0.4666666666666667,1.4,-1.1760912590556813,-0.3309932190414244,0.146128035678238,7.945534631761125,6.769443372705443,7.6145414127197,8.091662667439362,NA,0.0024914214338696058
