feature_number,ecoNetConsensus,net_act,Day_CCA,Day_Dictyota,Day_Pocillopora verrucosa,Day_Porites lobata,Day_Turf,Night_CCA,Night_Dictyota,Night_Pocillopora verrucosa,Night_Porites lobata,Night_Turf,Daysum,Nightsum,DayNight_night,activity_night,DayNight_day,activity_day
10284,Organic oxygen compounds;Organooxygen compounds;Carbohydrates and carbohydrate conjugates,147,NA,6.020745339600501,NA,NA,NA,NA,5.351874746240204,NA,NA,NA,6.020745339600501,5.351874746240204,Night,recalcitrant,Day,recalcitrant
10285,NA,692,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,Night,recalcitrant,Day,recalcitrant
10287,Organic acids and derivatives;Carboxylic acids and derivatives;Tricarboxylic acids and derivatives,2585,NA,6.2344861467980675,NA,NA,NA,NA,5.9846633887051155,NA,NA,NA,6.2344861467980675,5.9846633887051155,Night,recalcitrant,Day,recalcitrant
10288,Lipids and lipid-like molecules,627,NA,6.85299015801114,NA,NA,NA,NA,NA,NA,NA,NA,6.85299015801114,0,Night,recalcitrant,Day,recalcitrant
10289,NA,459,5.117348211933889,6.48808993564001,NA,NA,NA,NA,0,0,NA,NA,11.6054381475739,0,Night,recalcitrant,Day,recalcitrant
10290,NA,-10290,NA,2.97796733582042,NA,NA,NA,NA,NA,NA,NA,NA,2.97796733582042,0,NA,NA,Day,recalcitrant
10293,NA,-10293,2.5596943067425935,NA,NA,5.400857555999419,NA,NA,2.4953475160994394,2.5080432056666018,2.5224880570889443,NA,7.960551862742013,7.5258787788549855,Night,recalcitrant,Day,recalcitrant
10295,Organic oxygen compounds;Organooxygen compounds;Carbohydrates and carbohydrate conjugates,247,NA,6.468941327531161,NA,NA,NA,NA,5.30619882998894,5.482306743834318,NA,NA,6.468941327531161,10.788505573823258,Night,recalcitrant,Day,recalcitrant
10296,NA,-10296,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,Night,recalcitrant,Day,recalcitrant
10297,Lipids and lipid-like molecules;Fatty Acyls,2407,NA,6.806967232947296,NA,NA,NA,NA,6.18627624136968,NA,NA,NA,6.806967232947296,6.18627624136968,Night,recalcitrant,Day,recalcitrant
10299,NA,-10299,0,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,Night,recalcitrant,Day,recalcitrant
10300,NA,-10300,NA,6.213645920162807,NA,NA,NA,NA,6.075870256272953,NA,NA,NA,6.213645920162807,6.075870256272953,Night,recalcitrant,Day,recalcitrant
10301,Organic oxygen compounds;Organooxygen compounds;Carbohydrates and carbohydrate conjugates,247,NA,6.738593029173185,NA,NA,NA,NA,5.687682259758207,5.7980032189773105,NA,NA,6.738593029173185,11.485685478735517,Night,recalcitrant,Day,recalcitrant
10302,NA,-10302,NA,7.201451405285289,NA,NA,NA,NA,6.757316997544421,NA,NA,NA,7.201451405285289,6.757316997544421,Night,recalcitrant,Day,recalcitrant
10303,NA,-10303,7.854467284929522,7.811760235907706,7.848778956114019,7.880236368354424,NA,NA,NA,NA,NA,NA,31.395242845305674,0,Night,recalcitrant,Day,recalcitrant
10305,NA,-10305,2.6535847712312877,6.178792666371439,NA,NA,NA,NA,0,NA,NA,NA,8.832377437602727,0,Night,recalcitrant,Day,recalcitrant
10306,NA,-10306,NA,NA,NA,NA,NA,NA,2.699827637869856,2.577289314372587,NA,NA,0,5.277116952242443,Night,recalcitrant,Day,recalcitrant
10307,NA,-10307,NA,3.286671283811821,NA,NA,NA,NA,0,0,NA,NA,3.286671283811821,0,Night,recalcitrant,Day,recalcitrant
10309,Organic oxygen compounds;Organooxygen compounds;Carbohydrates and carbohydrate conjugates,247,NA,NA,NA,NA,NA,NA,6.1018032346313955,6.015462355247507,NA,NA,0,12.117265589878903,Night,recalcitrant,Day,recalcitrant
10310,Benzenoids,431,6.4708056267219245,6.980163565333367,NA,NA,NA,5.693395914174371,NA,NA,NA,NA,13.450969192055291,5.693395914174371,Night,recalcitrant,Day,recalcitrant
10312,NA,80,NA,NA,8.949489230203723,8.302979678875456,NA,NA,NA,9.370530420271939,8.296385014910598,NA,17.252468909079177,17.66691543518254,Night,depletolite,Day,depletolite
10313,Lipids and lipid-like molecules,814,NA,6.413089006023862,NA,NA,NA,NA,6.175744700400555,NA,NA,NA,6.413089006023862,6.175744700400555,Night,recalcitrant,Day,recalcitrant
10314,Lipids and lipid-like molecules;Fatty Acyls,165,NA,6.791856904322719,NA,NA,NA,NA,6.941237236904215,NA,NA,NA,6.791856904322719,6.941237236904215,Night,recalcitrant,Day,recalcitrant
10315,NA,-10315,NA,6.748678761697596,NA,NA,NA,NA,7.117211792630596,NA,NA,NA,6.748678761697596,7.117211792630596,Night,recalcitrant,Day,recalcitrant
10316,NA,-10316,NA,6.139996628527156,NA,NA,NA,NA,5.7405295817282695,5.042204186864749,NA,NA,6.139996628527156,10.782733768593019,Night,recalcitrant,Day,recalcitrant
10317,Organic acids and derivatives,980,NA,6.143414849853908,NA,NA,NA,NA,NA,NA,NA,NA,6.143414849853908,0,Night,recalcitrant,Day,recalcitrant
10320,Organic acids and derivatives;Carboxylic acids and derivatives;Carboxylic acids,4418,5.354658761804669,6.2703027839966925,NA,NA,NA,NA,2.8272110213173605,5.576025659482672,NA,NA,11.624961545801362,8.403236680800031,Night,recalcitrant,Day,recalcitrant
10322,Lipids and lipid-like molecules,427,NA,NA,NA,NA,NA,NA,6.331419420110949,NA,NA,NA,0,6.331419420110949,Night,recalcitrant,Day,depletolite
10323,"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",709,NA,6.511635055548973,NA,NA,NA,NA,NA,NA,NA,NA,6.511635055548973,0,Night,recalcitrant,Day,recalcitrant
10324,NA,-10324,NA,6.112745042972601,NA,NA,NA,NA,5.165484951308393,NA,NA,NA,6.112745042972601,5.165484951308393,Night,recalcitrant,Day,recalcitrant
10325,Lipids and lipid-like molecules,393,NA,NA,NA,NA,NA,7.178318182036119,NA,NA,NA,NA,0,7.178318182036119,Night,depletolite,Day,recalcitrant
10326,NA,-10326,NA,NA,NA,NA,NA,NA,2.62883815608777,NA,NA,NA,0,2.62883815608777,Night,recalcitrant,Day,recalcitrant
10327,NA,-10327,NA,6.0732767291435366,NA,NA,NA,NA,NA,NA,NA,NA,6.0732767291435366,0,NA,NA,Day,recalcitrant
10329,NA,-10329,5.411541600925782,7.096651251845134,NA,NA,NA,NA,6.503474099055377,5.063085538686519,NA,NA,12.508192852770915,11.566559637741896,Night,recalcitrant,Day,recalcitrant
10330,NA,-10330,NA,5.809649223863103,NA,NA,NA,NA,5.849727185828598,NA,NA,NA,5.809649223863103,5.849727185828598,Night,recalcitrant,Day,recalcitrant
10332,NA,-10332,2.61673422911511,6.264451223825992,NA,NA,NA,NA,NA,2.6778247645822613,NA,NA,8.881185452941102,2.6778247645822613,Night,recalcitrant,Day,recalcitrant
10334,NA,-10334,NA,6.392023512205148,NA,NA,NA,NA,5.969537432135894,NA,NA,NA,6.392023512205148,5.969537432135894,Night,recalcitrant,Day,recalcitrant
10335,NA,61,NA,NA,NA,NA,NA,NA,6.214953041835619,NA,NA,NA,0,6.214953041835619,Night,depletolite,Day,recalcitrant
10336,Organic oxygen compounds;Organooxygen compounds;Carbohydrates and carbohydrate conjugates,147,NA,6.043908443746556,NA,NA,NA,NA,5.3889732406240105,0,NA,NA,6.043908443746556,5.3889732406240105,Night,recalcitrant,Day,recalcitrant
10337,Lipids and lipid-like molecules,3292,5.4880500004787205,NA,NA,NA,NA,NA,5.279307896300299,NA,NA,NA,5.4880500004787205,5.279307896300299,Night,recalcitrant,Day,recalcitrant
10338,NA,-10338,NA,7.376362984385585,7.278565245555507,NA,3.8854592220274373,NA,NA,NA,NA,NA,18.540387451968527,0,Night,recalcitrant,Day,recalcitrant
10339,NA,1921,NA,6.516551192907616,NA,NA,NA,NA,NA,NA,NA,NA,6.516551192907616,0,NA,NA,Day,depletolite
10341,NA,-10341,NA,3.261261581534212,NA,NA,NA,NA,NA,0,NA,NA,3.261261581534212,0,Night,recalcitrant,Day,recalcitrant
10342,NA,-10342,5.712965468744368,6.103480581231905,5.947990843674072,5.880461398715215,NA,NA,NA,6.099161476867872,NA,NA,23.64489829236556,6.099161476867872,Night,recalcitrant,Day,recalcitrant
10343,Organic oxygen compounds;Organooxygen compounds;Carbohydrates and carbohydrate conjugates,147,NA,6.416812097749334,NA,NA,NA,NA,5.610548957855126,NA,NA,NA,6.416812097749334,5.610548957855126,Night,recalcitrant,Day,recalcitrant
10345,Lipids and lipid-like molecules,636,NA,6.755335361704872,NA,NA,NA,NA,6.150434508825487,NA,NA,NA,6.755335361704872,6.150434508825487,Night,recalcitrant,Day,recalcitrant
10346,NA,-10346,NA,5.98074710276045,NA,NA,NA,NA,NA,NA,NA,NA,5.98074710276045,0,NA,NA,Day,recalcitrant
10347,NA,-10347,NA,NA,NA,NA,NA,NA,NA,2.60726798584373,NA,NA,0,2.60726798584373,Night,recalcitrant,NA,NA
