DayNight,feature_number,CCA_log2,Dictyota_log2,Pocillopora verrucosa_log2,Porites lobata_log2,Turf_log2,Water control_log2,Organism,greater,lesser,FDR_greater,FDR_lesser,activity,CCA_xic,Dictyota_xic,Pocillopora verrucosa_xic,Porites lobata_xic,Turf_xic,Water control_xic
Day,1842,-3.0532447908050853,-4.225064710748019,-2.325316385924134,-3.194330709188474,-2.2704770669360435,-3.265044837990731,CCA,0.9999821826435238,1.7817356476151565e-5,0.9999999384831213,0.027493599371831743,depletolite,5969262.273449366,29061523.828361165,7856800.0279103145,8523786.080054542,6171997.4987928765,8058160.358101691
Day,1842,-3.0532447908050853,-4.225064710748019,-2.325316385924134,-3.194330709188474,-2.2704770669360435,-3.265044837990731,CCA,0.9999821826435238,1.7817356476151565e-5,0.9999999384831213,0.027493599371831743,depletolite,5969262.273449366,29061523.828361165,7856800.0279103145,8523786.080054542,6171997.4987928765,8058160.358101691
Day,2020,-3.1452522653698747,-2.7004605271709172,-1.0492108522704515,-1.0317355458747461,-2.8308809429055133,0.19727789113678473,CCA,0.9994357990510455,5.642009489545086e-4,0.9999999384831213,0.04758834336431179,depletolite,5252817.9564804435,2874573.572921859,1477875.231531223,1600559.0289140628,3484526.5495000184,2949766.177812491
Day,2020,-3.1452522653698747,-2.7004605271709172,-1.0492108522704515,-1.0317355458747461,-2.8308809429055133,0.19727789113678473,CCA,0.9994357990510455,5.642009489545086e-4,0.9999999384831213,0.04758834336431179,depletolite,5252817.9564804435,2874573.572921859,1477875.231531223,1600559.0289140628,3484526.5495000184,2949766.177812491
Day,2020,-3.1452522653698747,-2.7004605271709172,-1.0492108522704515,-1.0317355458747461,-2.8308809429055133,0.19727789113678473,CCA,0.9994357990510455,5.642009489545086e-4,0.9999999384831213,0.04758834336431179,depletolite,5252817.9564804435,2874573.572921859,1477875.231531223,1600559.0289140628,3484526.5495000184,2949766.177812491
Day,2020,-3.1452522653698747,-2.7004605271709172,-1.0492108522704515,-1.0317355458747461,-2.8308809429055133,0.19727789113678473,CCA,0.9994357990510455,5.642009489545086e-4,0.9999999384831213,0.04758834336431179,depletolite,5252817.9564804435,2874573.572921859,1477875.231531223,1600559.0289140628,3484526.5495000184,2949766.177812491
Day,2020,-3.1452522653698747,-2.7004605271709172,-1.0492108522704515,-1.0317355458747461,-2.8308809429055133,0.19727789113678473,CCA,0.9994357990510455,5.642009489545086e-4,0.9999999384831213,0.04758834336431179,depletolite,5252817.9564804435,2874573.572921859,1477875.231531223,1600559.0289140628,3484526.5495000184,2949766.177812491
Day,2020,-3.1452522653698747,-2.7004605271709172,-1.0492108522704515,-1.0317355458747461,-2.8308809429055133,0.19727789113678473,CCA,0.9994357990510455,5.642009489545086e-4,0.9999999384831213,0.04758834336431179,depletolite,5252817.9564804435,2874573.572921859,1477875.231531223,1600559.0289140628,3484526.5495000184,2949766.177812491
Day,20321,-13.788598727429843,-1.9316443465308508,4.841260283754136,1.1376194373129338,-0.5045188177312211,1.4737689101457512,CCA,0.9998911028515083,1.0889714849166499e-4,0.9999999384831213,0.03207851128761763,depletolite,150618303.6048934,93465.67735448951,1000,44796.29977148374,11729.122577392922,23745.370404053247
Day,20321,-13.788598727429843,-1.9316443465308508,4.841260283754136,1.1376194373129338,-0.5045188177312211,1.4737689101457512,CCA,0.9998911028515083,1.0889714849166499e-4,0.9999999384831213,0.03207851128761763,depletolite,150618303.6048934,93465.67735448951,1000,44796.29977148374,11729.122577392922,23745.370404053247
