feature_number,network,activity,num_features,DayNight.x,NOSC,quadrant,combined_ID,binary_ID,min_nosc,max_nosc,C,H,N,O,P,nc,pc,min_log2,max_log2,molnet_string,CCA,Dictyota,Pocillopora verrucosa,Porites lobata,Turf,Water control,num_organism,CCA_produced,Dictyota_produced,Pocillopora verrucosa_produced,Porites lobata_produced,Turf_produced,dorcierr,unique_organism,DayNight.y
16445,7,accumolite,176,Day,-1.2727272727272725,"1, 5, 7",Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,3,-1.2727272727272725,-1.2727272727272725,22,41,1,5,0,0.045454545454545456,0,-12.024679393640806,9.701460901997963,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,-3.89034175935973,-3.94435396025148,-1.49113223874721,-10.0831675984077,-1.78407302334865,4.81742363496403,5,yes,yes,yes,yes,yes,yes,NA,NA
18055,7,accumolite,176,NA,NA,NA,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,3,Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,-2.1532897624545173,8.940409978038101,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,NA,NA,NA,NA,NA,NA,1,no,yes,no,no,no,yes,NA,NA
18056,7,accumolite,176,Day,-1.1904761904761907,"1, 3, 5",Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,3,-1.1904761904761907,-1.1904761904761907,21,55,10,5,2,0.47619047619047616,0.09523809523809523,-6.85810391123984,8.77806453575237,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,1.94905022788577,-3.04591085311374,0.00143891833583097,2.19289431807513,0.00143891833583097,0.00143891833583097,1,no,yes,no,no,no,yes,NA,NA
18059,7,accumolite,176,Day,-0.45454545454545414,"1, 3, 5",Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,3,-0.45454545454545414,-0.45454545454545414,22,53,17,1,2,0.7727272727272727,0.09090909090909091,-7.046800776925645,8.372912825090678,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,0.00143891833583097,-0.964092882685891,2.0916063904097,1.76878090414341,0.00143891833583097,1.83917383233155,1,no,yes,no,no,no,yes,NA,NA
19499,7,accumolite,176,Day,-1.1428571428571432,"1, 5, 7",Spectral Match to p-tert-Octylphenol pentaglycol ether from NIST14,2,-1.1428571428571432,-1.1428571428571432,21,45,7,5,2,0.3333333333333333,0.09523809523809523,-8.018289187284251,3.817530941171609,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,-5.18361894405523,1.33043107624321,-1.05690108948498,-4.059741915829,-2.03608637327437,-4.33748500259899,NA,NA,NA,NA,NA,NA,NA,Porites lobata,Day
10371,10,recalcitrant,27,NA,NA,NA,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",3,Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,-9.666917984794608,10.456578278851508,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,NA,2,no,yes,yes,no,no,yes,NA,NA
12693,10,recalcitrant,27,NA,NA,NA,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",3,Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,-7.844663671683247,9.085643941010956,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,NA,1,no,yes,no,no,no,yes,NA,NA
12710,10,recalcitrant,27,NA,NA,NA,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",3,Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,-8.916173137084405,11.327507795177718,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,NA,2,no,yes,yes,no,no,yes,NA,NA
14305,10,recalcitrant,27,NA,NA,NA,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",3,Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,-8.09712070886769,8.849362599291394,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,NA,1,no,yes,no,no,no,yes,NA,NA
14313,10,recalcitrant,27,NA,NA,NA,GlcNAc1-3Gal1-4Glc-Sp,2,Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,-8.739253540345175,8.319063702996962,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,NA,4,no,yes,yes,yes,yes,yes,NA,NA
