feature_number,Organism,DayNight,network,activity,ecoNetConsensus,xic,log10,ra,asin,net_act,ecoNetConsensusScore,numberOfNodes,Compound_Name
6552,CCA,Day,5504,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,2558021.391367166,3.354467126241713,1.9262556242903778e-4,1.9262556719390201e-4,5504,1,1,NA
6552,Dictyota,Day,5504,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,0,0,0,0,5504,1,1,NA
6552,Pocillopora verrucosa,Day,5504,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,0,0,0,0,5504,1,1,NA
6552,Pocillopora verrucosa,Night,5504,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,2444910.4482187857,3.3446465204817475,5.257384753764426e-5,5.2573847634520665e-5,5504,1,1,NA
6552,Porites lobata,Day,5504,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,4511399.111402352,3.477670646732253,3.9934565460541746e-4,3.9934569706304813e-4,5504,1,1,NA
6552,Porites lobata,Night,5504,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,1251222.5979765684,3.1991823743340486,1.6710758193936386e-4,1.6710758505034392e-4,5504,1,1,NA
6552,Turf,Day,5504,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,1450940.6690742313,3.2313398996179146,1.0367848140626028e-4,1.0367848214923602e-4,5504,1,1,NA
6552,Turf,Night,5504,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,3414900.229410176,6.531997027088279,3.41168826941968e-4,3.411688335644299e-4,5504,1,1,NA
7076,CCA,Day,-1,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,121071449.05265625,7.742901544098668,0.009421618766902845,0.009422045178266258,-7076,1,NA,"1-Pyrrolidineethanol, .alpha.-phenyl-.beta.-propyl-"
7076,Dictyota,Day,-1,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,156691229.24103528,8.053948819041896,0.004853084043471714,0.0048531356380709665,-7076,1,NA,"1-Pyrrolidineethanol, .alpha.-phenyl-.beta.-propyl-"
7076,Dictyota,Night,-1,depletolite,Organic nitrogen compounds;Organonitrogen compounds;Amines,18249524.138000023,7.253412080322249,0.0010403866086705546,0.0010403868069157529,-7076,1,NA,"1-Pyrrolidineethanol, .alpha.-phenyl-.beta.-propyl-"
7076,Pocillopora verrucosa,Day,-1,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,172817317.00472665,8.076405922909153,0.004373261528895543,0.004373298928615876,-7076,1,NA,"1-Pyrrolidineethanol, .alpha.-phenyl-.beta.-propyl-"
7076,Turf,Day,-1,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,172940165.21182808,8.033699470887367,0.010719631752885544,0.010720181005079599,-7076,1,NA,"1-Pyrrolidineethanol, .alpha.-phenyl-.beta.-propyl-"
7076,Turf,Night,-1,depletolite,Organic nitrogen compounds;Organonitrogen compounds;Amines,20501450.55493743,7.3114275585310855,0.0020534885430852873,0.0020534899889977577,-7076,1,NA,"1-Pyrrolidineethanol, .alpha.-phenyl-.beta.-propyl-"
7609,Dictyota,Day,534,recalcitrant,Organic nitrogen compounds,155952046.53625536,8.192514039208493,0.00445261923494811,0.004452635348689609,534,0.6666666666666666,3,NA
8447,CCA,Night,3748,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds,0,0,0,0,3748,1,2,NA
8595,Dictyota,Day,4959,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,0,0,0,0,4959,1,1,NA
8595,Pocillopora verrucosa,Day,4959,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,1491402.6661230456,3.237312528195061,3.8290590717338984e-5,3.8290590754765975e-5,4959,1,1,NA
