superclass,class,subclass,DayNight,Organism,xic
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Day,Turf,91168822.43673635
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Night,CCA,6143135.06294724
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Night,Dictyota,11020774.740554709
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Night,Pocillopora verrucosa,89231220.29153901
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Night,Porites lobata,37031668.780814394
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Night,Turf,106926200.12828335
Organic nitrogen compounds,No Consensus Reached,No Consensus Reached,Day,CCA,236758021.2623653
Organic nitrogen compounds,No Consensus Reached,No Consensus Reached,Day,Dictyota,2478999.3171796957
Organic nitrogen compounds,No Consensus Reached,No Consensus Reached,Day,Pocillopora verrucosa,10223016.591347646
Organic nitrogen compounds,No Consensus Reached,No Consensus Reached,Day,Porites lobata,2701713.169724617
Organic nitrogen compounds,No Consensus Reached,No Consensus Reached,Day,Turf,4886293.013437562
Organic nitrogen compounds,No Consensus Reached,No Consensus Reached,Night,CCA,20728369.566248264
Organic nitrogen compounds,No Consensus Reached,No Consensus Reached,Night,Dictyota,40393284.61276954
Organic nitrogen compounds,No Consensus Reached,No Consensus Reached,Night,Pocillopora verrucosa,31223539.07658799
Organic nitrogen compounds,No Consensus Reached,No Consensus Reached,Night,Porites lobata,8904668.76568164
Organic nitrogen compounds,No Consensus Reached,No Consensus Reached,Night,Turf,198402566.40541098
Organic nitrogen compounds,Organonitrogen compounds,Amines,Night,CCA,160603973.11336935
Organic nitrogen compounds,Organonitrogen compounds,Amines,Night,Dictyota,233691616.06904274
Organic nitrogen compounds,Organonitrogen compounds,Amines,Night,Pocillopora verrucosa,206415493.54012108
Organic nitrogen compounds,Organonitrogen compounds,Amines,Night,Turf,296089841.7404941
Organic oxygen compounds,No Consensus Reached,No Consensus Reached,Day,Dictyota,3405435.7023984147
Organic oxygen compounds,No Consensus Reached,No Consensus Reached,Day,Pocillopora verrucosa,11082465.680523517
Organic oxygen compounds,No Consensus Reached,No Consensus Reached,Night,Dictyota,240130.98334570197
Organic oxygen compounds,No Consensus Reached,No Consensus Reached,Night,Pocillopora verrucosa,5810706.739175757
Organic oxygen compounds,No Consensus Reached,No Consensus Reached,Night,Porites lobata,6498836.8095156215
Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Night,CCA,3218909.0154531114
Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Day,Dictyota,15754026.539144041
Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Night,Dictyota,1245654.35384379
Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Night,Pocillopora verrucosa,7291633.488035167
Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Night,Porites lobata,2763338.2906719074
Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Night,Turf,4961527.5884062955
Organoheterocyclic compounds,Azoles,Tetrazoles,Night,Pocillopora verrucosa,16968549.95049221
Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Day,Dictyota,1663957.7867812281
Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Day,Pocillopora verrucosa,1484856.9849023432
Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Night,Dictyota,1365090.8004785213
Organoheterocyclic compounds,Indoles and derivatives,N-alkylindoles,Day,CCA,92916128.5946406
Organoheterocyclic compounds,Indoles and derivatives,N-alkylindoles,Day,Dictyota,798144598.279508
Organoheterocyclic compounds,Indoles and derivatives,N-alkylindoles,Day,Pocillopora verrucosa,498542332.89949787
Organoheterocyclic compounds,Indoles and derivatives,N-alkylindoles,Day,Porites lobata,114674763.94312508
Organoheterocyclic compounds,Indoles and derivatives,N-alkylindoles,Day,Turf,810873775.1051798
Organoheterocyclic compounds,Quinolines and derivatives,Haloquinolines,Day,CCA,13280965.449679695
Organoheterocyclic compounds,Triazines,"1,3,5-triazines",Day,CCA,6091267.893724629
Organoheterocyclic compounds,Triazines,"1,3,5-triazines",Day,Dictyota,30104182.27785155
Organoheterocyclic compounds,Triazines,"1,3,5-triazines",Day,Pocillopora verrucosa,6391489.840382816
Organoheterocyclic compounds,Triazines,"1,3,5-triazines",Day,Turf,5934175.376593741
Organoheterocyclic compounds,Triazines,"1,3,5-triazines",Night,CCA,12071198.094507806
Organoheterocyclic compounds,Triazines,"1,3,5-triazines",Night,Dictyota,3479060.855062492
Organoheterocyclic compounds,Triazines,"1,3,5-triazines",Night,Pocillopora verrucosa,4756862.221302749
Organoheterocyclic compounds,Triazines,"1,3,5-triazines",Night,Turf,7081540.329417975
No Consensus Reached,No Consensus Reached,No Consensus Reached,Day,CCA,2010296127.0316567
No Consensus Reached,No Consensus Reached,No Consensus Reached,Day,Dictyota,1267169800.7889292
No Consensus Reached,No Consensus Reached,No Consensus Reached,Day,Pocillopora verrucosa,10248991867.801334
No Consensus Reached,No Consensus Reached,No Consensus Reached,Day,Porites lobata,1360814796.1610918
No Consensus Reached,No Consensus Reached,No Consensus Reached,Day,Turf,4381831801.771289
No Consensus Reached,No Consensus Reached,No Consensus Reached,Night,CCA,2162208658.5564394
No Consensus Reached,No Consensus Reached,No Consensus Reached,Night,Dictyota,1876290444.2990675
No Consensus Reached,No Consensus Reached,No Consensus Reached,Night,Pocillopora verrucosa,18064034752.90783
No Consensus Reached,No Consensus Reached,No Consensus Reached,Night,Porites lobata,1884780182.6591358
No Consensus Reached,No Consensus Reached,No Consensus Reached,Night,Turf,3217952260.3241477
