Plate Name,Gate Name,Table Code,sample_name,Organism,DayNight,Timepoint,Replicate,Event Count,Mean SSC,Mean SYBR,Cells µL-1,% Parent,% Total
DORCIERR_T4D-TFD,SYBR Polygon,B2,D_DT_2_T4D,Dictyota,Day,T4,2,41471,1739.762817,208008.40625,829.42,0.81031282,0.81031282
DORCIERR_T4D-TFD,SYBR Polygon,B3,D_DT_3_T4D,Dictyota,Day,T4,3,40719,1744.134521,214033.875,831,0.8352272700000001,0.8352272700000001
DORCIERR_T4D-TFD,SYBR Polygon,B4,D_DT_4_T4D,Dictyota,Day,T4,4,39998,1729.748779,206796.671875,816.285714,0.83723364,0.83723364
DORCIERR_T4D-TFD,SYBR Polygon,B5,D_PV_1_T4D,Pocillopora verrucosa,Day,T4,1,35370,1871.710693,232914.609375,707.4,0.8533996,0.8533996
DORCIERR_T4D-TFD,SYBR Polygon,B6,D_PV_2_T4D,Pocillopora verrucosa,Day,T4,2,38909,1761.492798,209568.46875,794.061224,0.87249692,0.87249692
DORCIERR_T4D-TFD,SYBR Polygon,B7,D_PV_3_T4D,Pocillopora verrucosa,Day,T4,3,35461,1763.528076,223357.75,723.693878,0.87417725,0.87417725
DORCIERR_T4D-TFD,SYBR Polygon,B8,D_PV_4_T4D,Pocillopora verrucosa,Day,T4,4,38983,1718.226074,185688.5,779.66,0.8720638900000001,0.8720638900000001
DORCIERR_T4D-TFD,SYBR Polygon,A5,D_PL_1_T4D,Porites lobata,Day,T4,1,24676,1724.721436,193515.0625,493.52,0.81743797,0.81743797
DORCIERR_T4D-TFD,SYBR Polygon,A6,D_PL_2_T4D,Porites lobata,Day,T4,2,23304,1812.68103,257467.828125,475.591837,0.75395516,0.75395516
DORCIERR_T4D-TFD,SYBR Polygon,A7,D_PL_3_T4D,Porites lobata,Day,T4,3,24018,1763.819824,210028.265625,480.36,0.77577519,0.77577519
DORCIERR_T4D-TFD,SYBR Polygon,A8,D_PL_4_T4D,Porites lobata,Day,T4,4,24370,1727.718018,206376.1875,487.4,0.75540126,0.75540126
DORCIERR_T4D-TFD,SYBR Polygon,B9,D_TR_1_T4D,Turf,Day,T4,1,34491,1639.599976,175173.390625,703.897959,0.83436547,0.83436547
DORCIERR_T4D-TFD,SYBR Polygon,B10,D_TR_2_T4D,Turf,Day,T4,2,42663,1594.830444,175428.859375,870.673469,0.8605575299999999,0.8605575299999999
DORCIERR_T4D-TFD,SYBR Polygon,B11,D_TR_3_T4D,Turf,Day,T4,3,37033,1601.443359,162450.890625,740.66,0.85782122,0.85782122
DORCIERR_T4D-TFD,SYBR Polygon,B12,D_TR_4_T4D,Turf,Day,T4,4,40663,1639.973145,166906.84375,829.857143,0.8435607,0.8435607
DORCIERR_T4D-TFD,SYBR Polygon,C1,D_WA_1_T5D,Water control,Day,T5,1,21475,1716.802856,180270.578125,429.5,0.69169324,0.69169324
DORCIERR_T4D-TFD,SYBR Polygon,C2,D_WA_2_T5D,Water control,Day,T5,2,21151,1686.377441,184159.046875,431.653061,0.71436774,0.71436774
DORCIERR_T4D-TFD,SYBR Polygon,C3,D_WA_3_T5D,Water control,Day,T5,3,20529,1716.179443,223927.09375,418.959184,0.6189586,0.6189586
DORCIERR_T4D-TFD,SYBR Polygon,C4,D_WA_4_T5D,Water control,Day,T5,4,22461,1714.993042,203916.453125,458.387755,0.6940333099999999,0.6940333099999999
DORCIERR_T4D-TFD,SYBR Polygon,C9,D_CC_1_T5D,CCA,Day,T5,1,29962,1644.683472,189173.90625,611.469388,0.69009835,0.69009835
DORCIERR_T4D-TFD,SYBR Polygon,C10,D_CC_2_T5D,CCA,Day,T5,2,32192,1665.382813,180662.875,656.979592,0.7477121800000001,0.7477121800000001
DORCIERR_T4D-TFD,SYBR Polygon,C11,D_CC_3_T5D,CCA,Day,T5,3,28269,1631.85437,259048.046875,565.38,0.61656743,0.61656743
DORCIERR_T4D-TFD,SYBR Polygon,C12,D_CC_4_T5D,CCA,Day,T5,4,31146,1638.835205,173863.671875,622.92,0.77514248,0.77514248
DORCIERR_T4D-TFD,SYBR Polygon,D1,D_DT_1_T5D,Dictyota,Day,T5,1,38908,1642.999268,222871.15625,794.040816,0.6517908,0.6517908
DORCIERR_T4D-TFD,SYBR Polygon,D2,D_DT_2_T5D,Dictyota,Day,T5,2,39269,1718.300049,192114.625,801.408163,0.77652759,0.77652759
DORCIERR_T4D-TFD,SYBR Polygon,D3,D_DT_3_T5D,Dictyota,Day,T5,3,39791,1671.185791,227845.953125,812.061224,0.54173531,0.54173531
DORCIERR_T4D-TFD,SYBR Polygon,D4,D_DT_4_T5D,Dictyota,Day,T5,4,41922,1687.578857,193972.015625,855.55102,0.83944734,0.83944734
DORCIERR_T4D-TFD,SYBR Polygon,D5,D_PV_1_T5D,Pocillopora verrucosa,Day,T5,1,38228,1730.300171,204044.921875,764.56,0.73151036,0.73151036
DORCIERR_T4D-TFD,SYBR Polygon,D6,D_PV_2_T5D,Pocillopora verrucosa,Day,T5,2,37601,1771.803101,186775.125,752.02,0.85735458,0.85735458
DORCIERR_T4D-TFD,SYBR Polygon,D7,D_PV_3_T5D,Pocillopora verrucosa,Day,T5,3,38961,1675.638916,191294.859375,779.22,0.70622462,0.70622462
DORCIERR_T4D-TFD,SYBR Polygon,D8,D_PV_4_T5D,Pocillopora verrucosa,Day,T5,4,37236,1710.123047,192972.640625,759.918367,0.8030018800000001,0.8030018800000001
DORCIERR_T4D-TFD,SYBR Polygon,C5,D_PL_1_T5D,Porites lobata,Day,T5,1,25886,1674.72644,230854.359375,517.72,0.6840728300000001,0.6840728300000001
DORCIERR_T4D-TFD,SYBR Polygon,C6,D_PL_2_T5D,Porites lobata,Day,T5,2,25198,1655.423462,194127.515625,514.244898,0.71942898,0.71942898
DORCIERR_T4D-TFD,SYBR Polygon,C7,D_PL_3_T5D,Porites lobata,Day,T5,3,26319,1706.613647,225846.21875,537.122449,0.82313755,0.82313755
DORCIERR_T4D-TFD,SYBR Polygon,C8,D_PL_4_T5D,Porites lobata,Day,T5,4,26043,1688.960815,211049.375,531.489796,0.82965913,0.82965913
DORCIERR_T4D-TFD,SYBR Polygon,D9,D_TR_1_T5D,Turf,Day,T5,1,38767,1585.409302,152545.671875,775.34,0.7793145,0.7793145
DORCIERR_T4D-TFD,SYBR Polygon,D10,D_TR_2_T5D,Turf,Day,T5,2,36358,1597.741577,154303.53125,742,0.80568174,0.80568174
DORCIERR_T4D-TFD,SYBR Polygon,D11,D_TR_3_T5D,Turf,Day,T5,3,38956,1611.665161,159869.34375,779.12,0.78675149,0.78675149
