Tree#	Groups	WScore	
1	CL_2_T1-D_DT_2_T0D	0.719455
1	CL_2_T2-D_DT_2_T0D	0.428781
1	CR_2_T3-D_DT_2_T0D	0.444528
1	DORCIERR_D_WA_2_TFN-D_DT_2_T0D	0.622204
1	D_CC_1_T0D-D_DT_2_T0D	0.276677
1	D_CC_1_T0N-D_DT_2_T0D	0.167401
1	D_CC_1_TFD-D_DT_2_T0D	0.313674
1	D_CC_1_TFN-D_DT_2_T0D	0.463081
1	D_CC_2_T0D-D_DT_2_T0D	0.209438
1	D_CC_2_T0N-D_DT_2_T0D	0.187068
1	D_CC_2_TFD-D_DT_2_T0D	0.346804
1	D_CC_2_TFN-D_DT_2_T0D	0.359398
1	D_CC_3_TFD-D_DT_2_T0D	0.317897
1	D_CC_3_TFN-D_DT_2_T0D	0.416083
1	D_CC_4_TFD-D_DT_2_T0D	0.317267
1	D_CC_4_TFN-D_DT_2_T0D	0.523693
1	D_DT_1_T0D-D_DT_2_T0D	0.033602
1	D_DT_1_T0N-D_DT_2_T0D	0.119614
1	D_DT_1_TFN-D_DT_2_T0D	0.462853
1	AL_2_T1-D_DT_2_T0N	0.903577
1	AL_2_T3-D_DT_2_T0N	0.620548
1	AR_2_T2-D_DT_2_T0N	0.405889
1	AW_2_T1-D_DT_2_T0N	0.505400
1	AW_2_T2-D_DT_2_T0N	0.460018
1	AW_2_T3-D_DT_2_T0N	0.297167
1	CL_2_T1-D_DT_2_T0N	0.734200
1	CL_2_T2-D_DT_2_T0N	0.430952
1	CR_2_T3-D_DT_2_T0N	0.448837
1	DORCIERR_D_WA_2_TFN-D_DT_2_T0N	0.592923
1	D_CC_1_T0D-D_DT_2_T0N	0.262662
1	D_CC_1_T0N-D_DT_2_T0N	0.153157
1	D_CC_1_TFD-D_DT_2_T0N	0.354546
1	D_CC_1_TFN-D_DT_2_T0N	0.447004
1	D_CC_2_T0D-D_DT_2_T0N	0.195642
1	D_CC_2_T0N-D_DT_2_T0N	0.180049
1	D_CC_2_TFD-D_DT_2_T0N	0.396612
1	D_CC_2_TFN-D_DT_2_T0N	0.368748
1	D_CC_3_TFD-D_DT_2_T0N	0.357701
1	D_CC_3_TFN-D_DT_2_T0N	0.376748
1	D_CC_4_TFD-D_DT_2_T0N	0.363657
